Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
zai3Pheevoa4oiWooz1,CH,370,229,93.184.30.20,c-93-184-30-20.customer.ggaweb.ch,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2014-04-09,GGAMAUR - CH,21232,1770,None
farnsworth,DE,371,494,77.21.115.81,ip4d157351.dynamic.kabel-deutschland.de,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2017-01-05,KABELDEUTSCHLAND-AS - DE,31334,3470,None
FreeBSD01,FI,371,277,84.250.114.10,dsl-espbrasgw1-54fa72-10.dhcp.inet.fi,8080,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.8 on FreeBSD,0,0,2017-01-21,TSF-IP-CORE http://www.teliasonera.com- looking-glass lg.sonera.net- FI,1759,3390,None
frontier,US,371,1022,162.243.195.118,162.243.195.118,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-09-20,DIGITALOCEAN-ASN-NY2 - Digital Ocean- Inc.- US,62567,1560,None
Unnamed,FR,371,228,213.246.45.76,104887HD45076.ikexpress.com,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2016-12-10,IKOULA - FR,21409,2670,None
yog,US,371,261,24.255.33.115,ip24-255-33-115.tc.ph.cox.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2015-06-10,ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.- US,22773,2040,None
cr3phohxa,FR,372,1374,163.172.129.67,67-129-172-163.rev.cloud.scaleway.com,32951,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.6 on Linux,0,0,2016-02-10,AS12876 - FR,12876,1130,None
ksqu1,CZ,372,1167,31.31.76.169,vm2442.ksqu.eu,443,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.11 on FreeBSD,0,0,2014-04-08,WEDOS - CZ,197019,1120,None
shutyourmouth,NL,372,1358,46.249.49.231,46.249.49.231,6821,11576,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-11-16,HOSTSLIM - NL,200429,962,None
Cloudrider,US,373,474,47.148.106.29,47.148.106.29,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.8 on Linux,0,0,2016-03-05,FRONTIER-FRTR - Frontier Communications of America- Inc.- US,5650,2670,None
